"MUNICIPIO";"ANO";"MES";"CASOS"
"ARCOVERDE";2010;9;1
"ARCOVERDE";2010;10;2
"ARCOVERDE";2010;11;5
"ARCOVERDE";2010;12;8
"BARRA DE GUABIRABA";2010;1;0
"BARRA DE GUABIRABA";2010;2;0
"BARRA DE GUABIRABA";2010;3;0
"BARRA DE GUABIRABA";2010;4;0
"BARRA DE GUABIRABA";2010;5;2
"BARRA DE GUABIRABA";2010;6;1
"BARRA DE GUABIRABA";2010;7;0
"BARRA DE GUABIRABA";2010;8;1
"BARRA DE GUABIRABA";2010;9;0
"BARRA DE GUABIRABA";2010;10;0
"BARRA DE GUABIRABA";2010;11;0
"BARRA DE GUABIRABA";2010;12;0
"BARREIROS";2010;1;0
"BARREIROS";2010;2;1
"BARREIROS";2010;3;5
"BARREIROS";2010;4;18
"BARREIROS";2010;5;87
"BARREIROS";2010;6;30
"BARREIROS";2010;7;9
"BARREIROS";2010;8;9
"BARREIROS";2010;9;1
"BARREIROS";2010;10;4
"BARREIROS";2010;11;2
"BARREIROS";2010;12;0
"BELEM DE MARIA";2010;1;0
"BELEM DE MARIA";2010;2;0
"BELEM DE MARIA";2010;3;1
"BELEM DE MARIA";2010;4;1
"BELEM DE MARIA";2010;5;0
"BELEM DE MARIA";2010;6;0
"BELEM DE MARIA";2010;7;0
"BELEM DE MARIA";2010;8;0
"BELEM DE MARIA";2010;9;0
"BELEM DE MARIA";2010;10;0
"BELEM DE MARIA";2010;11;0
"BELEM DE MARIA";2010;12;0
"BELEM DO SAO FRANCISCO";2010;1;0
"BELEM DO SAO FRANCISCO";2010;2;0
"BELEM DO SAO FRANCISCO";2010;3;3
"BELEM DO SAO FRANCISCO";2010;4;9
"BELEM DO SAO FRANCISCO";2010;5;8
"BELEM DO SAO FRANCISCO";2010;6;1
"BELEM DO SAO FRANCISCO";2010;7;1
"BELEM DO SAO FRANCISCO";2010;8;0
"BELEM DO SAO FRANCISCO";2010;9;0
"BELEM DO SAO FRANCISCO";2010;10;0
"BELEM DO SAO FRANCISCO";2010;11;0
"BELEM DO SAO FRANCISCO";2010;12;0
"BELO JARDIM";2010;1;0
"BELO JARDIM";2010;2;0
"BELO JARDIM";2010;3;1
"BELO JARDIM";2010;4;20
"BELO JARDIM";2010;5;53
"BELO JARDIM";2010;6;87
"BELO JARDIM";2010;7;39
"BELO JARDIM";2010;8;56
"BELO JARDIM";2010;9;40
"BELO JARDIM";2010;10;17
"BELO JARDIM";2010;11;22
"BELO JARDIM";2010;12;9
"BETANIA";2010;1;0
"BETANIA";2010;2;0
"BETANIA";2010;3;0
"BETANIA";2010;4;0
"BETANIA";2010;5;1
"BETANIA";2010;6;0
"BETANIA";2010;7;1
"BETANIA";2010;8;0
"BETANIA";2010;9;0
"BETANIA";2010;10;0
"BETANIA";2010;11;0
"BETANIA";2010;12;0
"BEZERROS";2010;1;8
"BEZERROS";2010;2;16
"BEZERROS";2010;3;39
"BEZERROS";2010;4;11
"BEZERROS";2010;5;1
"BEZERROS";2010;6;3
"BEZERROS";2010;7;0
"BEZERROS";2010;8;0
"BEZERROS";2010;9;0
"BEZERROS";2010;10;0
"BEZERROS";2010;11;0
"BEZERROS";2010;12;0
"BODOCO";2010;1;0
"BODOCO";2010;2;2
"BODOCO";2010;3;36
"BODOCO";2010;4;36
"BODOCO";2010;5;28
"BODOCO";2010;6;26
"BODOCO";2010;7;5
"BODOCO";2010;8;1
"BODOCO";2010;9;2
"BODOCO";2010;10;0
"BODOCO";2010;11;2
"BODOCO";2010;12;0
"BOM CONSELHO";2010;1;1
"BOM CONSELHO";2010;2;0
"BOM CONSELHO";2010;3;2
"BOM CONSELHO";2010;4;11
"BOM CONSELHO";2010;5;7
"BOM CONSELHO";2010;6;5
"BOM CONSELHO";2010;7;5
"BOM CONSELHO";2010;8;2
"BOM CONSELHO";2010;9;0
"BOM CONSELHO";2010;10;0
"BOM CONSELHO";2010;11;0
"BOM CONSELHO";2010;12;0
"BOM JARDIM";2010;1;0
"BOM JARDIM";2010;2;0
"BOM JARDIM";2010;3;2
"BOM JARDIM";2010;4;2
"BOM JARDIM";2010;5;15
"BOM JARDIM";2010;6;23
"BOM JARDIM";2010;7;27
"BOM JARDIM";2010;8;5
"BOM JARDIM";2010;9;5
"BOM JARDIM";2010;10;8
"BOM JARDIM";2010;11;1
"BOM JARDIM";2010;12;1
"BONITO";2010;1;0
"BONITO";2010;2;0
"BONITO";2010;3;1
"BONITO";2010;4;3
"BONITO";2010;5;25
"BONITO";2010;6;12
"BONITO";2010;7;10
"BONITO";2010;8;1
"BONITO";2010;9;4
"BONITO";2010;10;1
"BONITO";2010;11;0
"BONITO";2010;12;0
"BREJAO";2010;1;0
"BREJAO";2010;2;0
"BREJAO";2010;3;0
"BREJAO";2010;4;4
"BREJAO";2010;5;8
"BREJAO";2010;6;6
"BREJAO";2010;7;2
"BREJAO";2010;8;0
"BREJAO";2010;9;0
"BREJAO";2010;10;0
"BREJAO";2010;11;0
"BREJAO";2010;12;0
"BREJINHO";2010;1;0
"BREJINHO";2010;2;0
"BREJINHO";2010;3;1
"BREJINHO";2010;4;1
"BREJINHO";2010;5;0
"BREJINHO";2010;6;0
"BREJINHO";2010;7;0
"BREJINHO";2010;8;0
"BREJINHO";2010;9;0
"BREJINHO";2010;10;0
"BREJINHO";2010;11;1
"BREJINHO";2010;12;0
"BREJO DA MADRE DE DEUS";2010;1;0
"BREJO DA MADRE DE DEUS";2010;2;0
"BREJO DA MADRE DE DEUS";2010;3;0
"BREJO DA MADRE DE DEUS";2010;4;1
"BREJO DA MADRE DE DEUS";2010;5;19
"BREJO DA MADRE DE DEUS";2010;6;8
"BREJO DA MADRE DE DEUS";2010;7;9
"BREJO DA MADRE DE DEUS";2010;8;9
"BREJO DA MADRE DE DEUS";2010;9;3
"BREJO DA MADRE DE DEUS";2010;10;0
"BREJO DA MADRE DE DEUS";2010;11;0
"BREJO DA MADRE DE DEUS";2010;12;0
"BUIQUE";2010;1;0
"BUIQUE";2010;2;0
"BUIQUE";2010;3;0
"BUIQUE";2010;4;1
"BUIQUE";2010;5;1
"BUIQUE";2010;6;0
"BUIQUE";2010;7;0
"BUIQUE";2010;8;0
"BUIQUE";2010;9;0
"BUIQUE";2010;10;0
"BUIQUE";2010;11;0
"BUIQUE";2010;12;0
"CABO DE SANTO AGOSTINHO";2010;1;4
"CABO DE SANTO AGOSTINHO";2010;2;6
"CABO DE SANTO AGOSTINHO";2010;3;46
"CABO DE SANTO AGOSTINHO";2010;4;110
"CABO DE SANTO AGOSTINHO";2010;5;438
"CABO DE SANTO AGOSTINHO";2010;6;465
"CABO DE SANTO AGOSTINHO";2010;7;172
"CABO DE SANTO AGOSTINHO";2010;8;105
"CABO DE SANTO AGOSTINHO";2010;9;44
"CABO DE SANTO AGOSTINHO";2010;10;26
"CABO DE SANTO AGOSTINHO";2010;11;24
"CABO DE SANTO AGOSTINHO";2010;12;10
"CABROBO";2010;1;0
"CABROBO";2010;2;0
"CABROBO";2010;3;0
"CABROBO";2010;4;1
"CABROBO";2010;5;0
"CABROBO";2010;6;0
"CABROBO";2010;7;1
"CABROBO";2010;8;0
"CABROBO";2010;9;0
"CABROBO";2010;10;0
"CABROBO";2010;11;0
"CABROBO";2010;12;0
"CACHOEIRINHA";2010;1;0
"CACHOEIRINHA";2010;2;0
"CACHOEIRINHA";2010;3;0
"CACHOEIRINHA";2010;4;0
"CACHOEIRINHA";2010;5;4
"CACHOEIRINHA";2010;6;0
"CACHOEIRINHA";2010;7;1
"CACHOEIRINHA";2010;8;0
"CACHOEIRINHA";2010;9;0
"CACHOEIRINHA";2010;10;0
"CACHOEIRINHA";2010;11;0
"CACHOEIRINHA";2010;12;0
"CAETES";2010;1;0
"CAETES";2010;2;0
"CAETES";2010;3;1
"CAETES";2010;4;10
"CAETES";2010;5;24
"CAETES";2010;6;4
"CAETES";2010;7;3
"CAETES";2010;8;2
"CAETES";2010;9;0
"CAETES";2010;10;0
"CAETES";2010;11;0
"CAETES";2010;12;0
"CALCADO";2010;1;0
"CALCADO";2010;2;0
"CALCADO";2010;3;1
"CALCADO";2010;4;5
"CALCADO";2010;5;17
"CALCADO";2010;6;14
"CALCADO";2010;7;5
"CALCADO";2010;8;4
"CALCADO";2010;9;0
"CALCADO";2010;10;0
"CALCADO";2010;11;0
"CALCADO";2010;12;0
"CALUMBI";2010;1;0
"CALUMBI";2010;2;0
"CALUMBI";2010;3;0
"CALUMBI";2010;4;0
"CALUMBI";2010;5;3
"CALUMBI";2010;6;0
"CALUMBI";2010;7;0
"CALUMBI";2010;8;0
"CALUMBI";2010;9;0
"CALUMBI";2010;10;0
"CALUMBI";2010;11;0
"CALUMBI";2010;12;0
"CAMARAGIBE";2010;1;1
"CAMARAGIBE";2010;2;0
"CAMARAGIBE";2010;3;3
"CAMARAGIBE";2010;4;23
"CAMARAGIBE";2010;5;57
"CAMARAGIBE";2010;6;88
"CAMARAGIBE";2010;7;81
"CAMARAGIBE";2010;8;32
"CAMARAGIBE";2010;9;10
"CAMARAGIBE";2010;10;0
"CAMARAGIBE";2010;11;3
"CAMARAGIBE";2010;12;0
"CAMOCIM DE SAO FELIX";2010;1;0
"CAMOCIM DE SAO FELIX";2010;2;1
"CAMOCIM DE SAO FELIX";2010;3;0
"CAMOCIM DE SAO FELIX";2010;4;0
"CAMOCIM DE SAO FELIX";2010;5;1
"CAMOCIM DE SAO FELIX";2010;6;23
"CAMOCIM DE SAO FELIX";2010;7;7
"CAMOCIM DE SAO FELIX";2010;8;0
"CAMOCIM DE SAO FELIX";2010;9;0
"CAMOCIM DE SAO FELIX";2010;10;1
"CAMOCIM DE SAO FELIX";2010;11;0
"CAMOCIM DE SAO FELIX";2010;12;0
"CAMUTANGA";2010;1;0
"CAMUTANGA";2010;2;0
"CAMUTANGA";2010;3;0
"CAMUTANGA";2010;4;0
"CAMUTANGA";2010;5;2
"CAMUTANGA";2010;6;0
"CAMUTANGA";2010;7;0
"CAMUTANGA";2010;8;0
"CAMUTANGA";2010;9;0
"CAMUTANGA";2010;10;0
"CAMUTANGA";2010;11;0
"CAMUTANGA";2010;12;0
"CANHOTINHO";2010;1;0
"CANHOTINHO";2010;2;1
"CANHOTINHO";2010;3;0
"CANHOTINHO";2010;4;1
"CANHOTINHO";2010;5;3
"CANHOTINHO";2010;6;2
"CANHOTINHO";2010;7;6
"CANHOTINHO";2010;8;4
"CANHOTINHO";2010;9;0
"CANHOTINHO";2010;10;0
"CANHOTINHO";2010;11;0
"CANHOTINHO";2010;12;0
"CAPOEIRAS";2010;1;0
"CAPOEIRAS";2010;2;0
"CAPOEIRAS";2010;3;0
"CAPOEIRAS";2010;4;3
"CAPOEIRAS";2010;5;14
"CAPOEIRAS";2010;6;11
"CAPOEIRAS";2010;7;9
"CAPOEIRAS";2010;8;1
"CAPOEIRAS";2010;9;0
"CAPOEIRAS";2010;10;0
"CAPOEIRAS";2010;11;0
"CAPOEIRAS";2010;12;0
"CARNAIBA";2010;1;1
"CARNAIBA";2010;2;1
"CARNAIBA";2010;3;0
"CARNAIBA";2010;4;3
"CARNAIBA";2010;5;32
"CARNAIBA";2010;6;24
"CARNAIBA";2010;7;3
"CARNAIBA";2010;8;10
"CARNAIBA";2010;9;0
"CARNAIBA";2010;10;3
"CARNAIBA";2010;11;5
"CARNAIBA";2010;12;7
"CARNAUBEIRA DA PENHA";2010;1;0
"CARNAUBEIRA DA PENHA";2010;2;0
"CARNAUBEIRA DA PENHA";2010;3;0
"CARNAUBEIRA DA PENHA";2010;4;1
"CARNAUBEIRA DA PENHA";2010;5;0
"CARNAUBEIRA DA PENHA";2010;6;0
"CARNAUBEIRA DA PENHA";2010;7;0
"CARNAUBEIRA DA PENHA";2010;8;0
"CARNAUBEIRA DA PENHA";2010;9;0
"CARNAUBEIRA DA PENHA";2010;10;0
"CARNAUBEIRA DA PENHA";2010;11;0
"CARNAUBEIRA DA PENHA";2010;12;0
"CARPINA";2010;1;0
"CARPINA";2010;2;0
"CARPINA";2010;3;3
"CARPINA";2010;4;1
"CARPINA";2010;5;9
"CARPINA";2010;6;8
"CARPINA";2010;7;11
"CARPINA";2010;8;19
"CARPINA";2010;9;12
"CARPINA";2010;10;4
"CARPINA";2010;11;0
"CARPINA";2010;12;1
"CARUARU";2010;1;10
"CARUARU";2010;2;28
"CARUARU";2010;3;216
"CARUARU";2010;4;367
"CARUARU";2010;5;336
"CARUARU";2010;6;160
"CARUARU";2010;7;71
"CARUARU";2010;8;59
"CARUARU";2010;9;13
"CARUARU";2010;10;1
"CARUARU";2010;11;11
"CARUARU";2010;12;5
"CASINHAS";2010;1;10
"CASINHAS";2010;2;2
"CASINHAS";2010;3;15
"CASINHAS";2010;4;32
"CASINHAS";2010;5;19
"CASINHAS";2010;6;23
"CASINHAS";2010;7;9
"CASINHAS";2010;8;3
"CASINHAS";2010;9;1
"CASINHAS";2010;10;0
"CASINHAS";2010;11;0
"CASINHAS";2010;12;3
"CATENDE";2010;1;0
"CATENDE";2010;2;0
"CATENDE";2010;3;0
"CATENDE";2010;4;2
"CATENDE";2010;5;16
"CATENDE";2010;6;1
"CATENDE";2010;7;4
"CATENDE";2010;8;4
"CATENDE";2010;9;1
"CATENDE";2010;10;1
"CATENDE";2010;11;0
"CATENDE";2010;12;0
"CEDRO";2010;1;0
"CEDRO";2010;2;4
"CEDRO";2010;3;34
"CEDRO";2010;4;12
"CEDRO";2010;5;9
"CEDRO";2010;6;20
"CEDRO";2010;7;8
"CEDRO";2010;8;2
"CEDRO";2010;9;1
"CEDRO";2010;10;0
"CEDRO";2010;11;0
"CEDRO";2010;12;1
"CHA DE ALEGRIA";2010;1;0
"CHA DE ALEGRIA";2010;2;0
"CHA DE ALEGRIA";2010;3;0
"CHA DE ALEGRIA";2010;4;1
"CHA DE ALEGRIA";2010;5;4
"CHA DE ALEGRIA";2010;6;2
"CHA DE ALEGRIA";2010;7;3
"CHA DE ALEGRIA";2010;8;0
"CHA DE ALEGRIA";2010;9;0
"CHA DE ALEGRIA";2010;10;0
"CHA DE ALEGRIA";2010;11;0
"CHA DE ALEGRIA";2010;12;0
"CHA GRANDE";2010;1;3
"CHA GRANDE";2010;2;9
"CHA GRANDE";2010;3;7
"CHA GRANDE";2010;4;6
"CHA GRANDE";2010;5;45
"CHA GRANDE";2010;6;30
"CHA GRANDE";2010;7;8
"CHA GRANDE";2010;8;3
"CHA GRANDE";2010;9;6
"CHA GRANDE";2010;10;1
"CHA GRANDE";2010;11;0
"CHA GRANDE";2010;12;16
"CONDADO";2010;1;0
"CONDADO";2010;2;1
"CONDADO";2010;3;0
"CONDADO";2010;4;0
"CONDADO";2010;5;2
"CONDADO";2010;6;0
"CONDADO";2010;7;12
"CONDADO";2010;8;15
"CONDADO";2010;9;33
"CONDADO";2010;10;35
"CONDADO";2010;11;27
"CONDADO";2010;12;19
"CORRENTES";2010;1;0
"CORRENTES";2010;2;0
"CORRENTES";2010;3;1
"CORRENTES";2010;4;0
"CORRENTES";2010;5;1
"CORRENTES";2010;6;3
"CORRENTES";2010;7;2
"CORRENTES";2010;8;0
"CORRENTES";2010;9;0
"CORRENTES";2010;10;0
"CORRENTES";2010;11;0
"CORRENTES";2010;12;0
"CORTES";2010;1;8
"CORTES";2010;2;31
"CORTES";2010;3;32
"CORTES";2010;4;1
"CORTES";2010;5;0
"CORTES";2010;6;0
"CORTES";2010;7;0
"CORTES";2010;8;0
"CORTES";2010;9;0
"CORTES";2010;10;0
"CORTES";2010;11;0
"CORTES";2010;12;0
"CUMARU";2010;1;0
"CUMARU";2010;2;0
"CUMARU";2010;3;1
"CUMARU";2010;4;5
"CUMARU";2010;5;31
"CUMARU";2010;6;26
"CUMARU";2010;7;3
"CUMARU";2010;8;1
"CUMARU";2010;9;1
"CUMARU";2010;10;1
"CUMARU";2010;11;0
"CUMARU";2010;12;0
"CUPIRA";2010;1;0
"CUPIRA";2010;2;0
"CUPIRA";2010;3;0
"CUPIRA";2010;4;0
"CUPIRA";2010;5;0
"CUPIRA";2010;6;4
"CUPIRA";2010;7;2
"CUPIRA";2010;8;0
"CUPIRA";2010;9;1
"CUPIRA";2010;10;2
"CUPIRA";2010;11;1
"CUPIRA";2010;12;0
"CUSTODIA";2010;1;1
"CUSTODIA";2010;2;0
"CUSTODIA";2010;3;5
"CUSTODIA";2010;4;7
"CUSTODIA";2010;5;13
"CUSTODIA";2010;6;4
"CUSTODIA";2010;7;2
"CUSTODIA";2010;8;0
"CUSTODIA";2010;9;0
"CUSTODIA";2010;10;0
"CUSTODIA";2010;11;1
"CUSTODIA";2010;12;0
"DORMENTES";2010;1;20
"DORMENTES";2010;2;1
"DORMENTES";2010;3;0
"DORMENTES";2010;4;0
"DORMENTES";2010;5;1
"DORMENTES";2010;6;0
"DORMENTES";2010;7;0
"DORMENTES";2010;8;0
"DORMENTES";2010;9;0
"DORMENTES";2010;10;0
"DORMENTES";2010;11;0
"DORMENTES";2010;12;4
"ESCADA";2010;1;0
"ESCADA";2010;2;0
"ESCADA";2010;3;14
"ESCADA";2010;4;15
"ESCADA";2010;5;25
"ESCADA";2010;6;13
"ESCADA";2010;7;4
"ESCADA";2010;8;0
"ESCADA";2010;9;2
"ESCADA";2010;10;18
"ESCADA";2010;11;7
"ESCADA";2010;12;0
"EXU";2010;1;0
"EXU";2010;2;2
"EXU";2010;3;10
"EXU";2010;4;6
"EXU";2010;5;7
"EXU";2010;6;6
"EXU";2010;7;9
"EXU";2010;8;3
"EXU";2010;9;0
"EXU";2010;10;0
"EXU";2010;11;1
"EXU";2010;12;1
"FEIRA NOVA";2010;1;0
"FEIRA NOVA";2010;2;0
"FEIRA NOVA";2010;3;0
"FEIRA NOVA";2010;4;0
"FEIRA NOVA";2010;5;0
"FEIRA NOVA";2010;6;4
"FEIRA NOVA";2010;7;6
"FEIRA NOVA";2010;8;0
"FEIRA NOVA";2010;9;0
"FEIRA NOVA";2010;10;0
"FEIRA NOVA";2010;11;1
"FEIRA NOVA";2010;12;0
"FERNANDO DE NORONHA";2010;1;0
"FERNANDO DE NORONHA";2010;2;0
"FERNANDO DE NORONHA";2010;3;1
"FERNANDO DE NORONHA";2010;4;0
"FERNANDO DE NORONHA";2010;5;3
"FERNANDO DE NORONHA";2010;6;30
"FERNANDO DE NORONHA";2010;7;20
"FERNANDO DE NORONHA";2010;8;3
"FERNANDO DE NORONHA";2010;9;2
"FERNANDO DE NORONHA";2010;10;0
"FERNANDO DE NORONHA";2010;11;0
"FERNANDO DE NORONHA";2010;12;0
"FERREIROS";2010;1;0
"FERREIROS";2010;2;0
"FERREIROS";2010;3;0
"FERREIROS";2010;4;0
"FERREIROS";2010;5;0
"FERREIROS";2010;6;0
"FERREIROS";2010;7;8
"FERREIROS";2010;8;0
"FERREIROS";2010;9;0
"FERREIROS";2010;10;0
"FERREIROS";2010;11;0
"FERREIROS";2010;12;0
"FLORES";2010;1;0
"FLORES";2010;2;0
"FLORES";2010;3;0
"FLORES";2010;4;1
"FLORES";2010;5;0
"FLORES";2010;6;1
"FLORES";2010;7;0
"FLORES";2010;8;6
"FLORES";2010;9;0
"FLORES";2010;10;0
"FLORES";2010;11;0
"FLORES";2010;12;0
"FLORESTA";2010;1;0
"FLORESTA";2010;2;0
"FLORESTA";2010;3;0
"FLORESTA";2010;4;1
"FLORESTA";2010;5;19
"FLORESTA";2010;6;11
"FLORESTA";2010;7;5
"FLORESTA";2010;8;2
"FLORESTA";2010;9;1
"FLORESTA";2010;10;0
"FLORESTA";2010;11;0
"FLORESTA";2010;12;0
"FREI MIGUELINHO";2010;1;0
"FREI MIGUELINHO";2010;2;0
"FREI MIGUELINHO";2010;3;1
"FREI MIGUELINHO";2010;4;2
"FREI MIGUELINHO";2010;5;26
"FREI MIGUELINHO";2010;6;19
"FREI MIGUELINHO";2010;7;4
"FREI MIGUELINHO";2010;8;4
"FREI MIGUELINHO";2010;9;0
"FREI MIGUELINHO";2010;10;0
"FREI MIGUELINHO";2010;11;0
"FREI MIGUELINHO";2010;12;0
"GAMELEIRA";2010;1;5
"GAMELEIRA";2010;2;36
"GAMELEIRA";2010;3;76
"GAMELEIRA";2010;4;17
"GAMELEIRA";2010;5;7
"GAMELEIRA";2010;6;3
"GAMELEIRA";2010;7;9
"GAMELEIRA";2010;8;1
"GAMELEIRA";2010;9;2
"GAMELEIRA";2010;10;0
"GAMELEIRA";2010;11;0
"GAMELEIRA";2010;12;0
"GARANHUNS";2010;1;1
"GARANHUNS";2010;2;11
"GARANHUNS";2010;3;20
"GARANHUNS";2010;4;114
"GARANHUNS";2010;5;251
"GARANHUNS";2010;6;236
"GARANHUNS";2010;7;87
"GARANHUNS";2010;8;19
"GARANHUNS";2010;9;8
"GARANHUNS";2010;10;4
"GARANHUNS";2010;11;3
"GARANHUNS";2010;12;7
"GLORIA DO GOITA";2010;1;2
"GLORIA DO GOITA";2010;2;7
"GLORIA DO GOITA";2010;3;17
"GLORIA DO GOITA";2010;4;31
"GLORIA DO GOITA";2010;5;21
"GLORIA DO GOITA";2010;6;3
"GLORIA DO GOITA";2010;7;6
"GLORIA DO GOITA";2010;8;5
"GLORIA DO GOITA";2010;9;2
"GLORIA DO GOITA";2010;10;1
"GLORIA DO GOITA";2010;11;0
"GLORIA DO GOITA";2010;12;0
"GOIANA";2010;1;1
"GOIANA";2010;2;0
"GOIANA";2010;3;0
"GOIANA";2010;4;1
"GOIANA";2010;5;3
"GOIANA";2010;6;1
"GOIANA";2010;7;10
"GOIANA";2010;8;5
"GOIANA";2010;9;7
"GOIANA";2010;10;24
"GOIANA";2010;11;20
"GOIANA";2010;12;7
"GRANITO";2010;1;0
"GRANITO";2010;2;0
"GRANITO";2010;3;0
"GRANITO";2010;4;11
"GRANITO";2010;5;13
"GRANITO";2010;6;8
"GRANITO";2010;7;0
"GRANITO";2010;8;0
"GRANITO";2010;9;0
"GRANITO";2010;10;0
"GRANITO";2010;11;0
"GRANITO";2010;12;0
"GRAVATA";2010;1;0
"GRAVATA";2010;2;3
"GRAVATA";2010;3;10
"GRAVATA";2010;4;10
"GRAVATA";2010;5;49
"GRAVATA";2010;6;47
"GRAVATA";2010;7;65
"GRAVATA";2010;8;18
